,MP,SP,SP_primal
1.0,19797.643069705053,19777.213230817546,
2.0,19797.688468715383,19770.23227901991,19773.450345840105
3.0,19797.688468715383,19769.781492054,19772.89450249136
4.0,19798.069162790278,19771.481434007506,19772.19539682846
