,MP,SP,SP_primal
1.0,9010.781637746815,10535.476831391721,
2.0,9010.781637746813,8995.92867461094,8995.928674610937
3.0,9010.781637746815,8990.826587824475,8990.82658782445
4.0,9010.781637746813,9004.735127675305,9004.73511995528
5.0,9010.781637746813,8997.974841897038,8997.974755456546
6.0,9010.781637746812,8991.291343194924,8991.291343194931
7.0,9012.962095787958,9012.962095787983,9012.962095787969
