DATE (MM/DD/YYYY),HST,Global Horizontal [W/m^2],Air Temperature [deg C],Avg Wind Speed @ 10m [m/s]
1/15/2025,00:00,-1.54977,23.27,0.008
1/15/2025,00:01,-1.54977,23.27,0.343
1/15/2025,00:02,-1.28501,23.27,0.253
1/15/2025,00:03,-0.774881,23.29,0.519
1/15/2025,00:04,-0.774880,23.31,0.836
1/15/2025,00:05,-0.774880,23.33,0.418
1/15/2025,00:06,-0.774879,23.33,0.425
1/15/2025,00:07,-0.774879,23.33,0.528
1/15/2025,00:08,-0.774879,23.33,0.599
1/15/2025,00:09,-0.768426,23.34,0.918
1/15/2025,00:10,-0.568248,23.34,1.886
1/15/2025,00:11,-0.251838,23.32,1.285
1/15/2025,00:12,-0.006457,23.31,0.977
1/15/2025,00:13,0,23.3,0.552
1/15/2025,00:14,-0.064575,23.33,0.872
1/15/2025,00:15,-0.406821,23.36,0.991
1/15/2025,00:16,-0.742610,23.39,1.878
1/15/2025,00:17,-0.774892,23.42,2.194
1/15/2025,00:18,-0.77489,23.42,2.066
1/15/2025,00:19,-0.774891,23.41,1.717
1/15/2025,00:20,-0.774889,23.42,1.638
1/15/2025,00:21,-0.774886,23.39,1.575
1/15/2025,00:22,-0.774884,23.39,2.576
1/15/2025,00:23,-0.77488,23.38,2.455
1/15/2025,00:24,-0.981511,23.35,2.564
1/15/2025,00:25,-1.47226,23.31,2.12
1/15/2025,00:26,-1.54975,23.29,2.481
1/15/2025,00:27,-1.54974,23.27,2.068
1/15/2025,00:28,-1.84032,23.24,1.893
1/15/2025,00:29,-2.32462,23.19,1.499
1/15/2025,00:30,-2.32462,23.14,1.669
1/15/2025,00:31,-2.32462,23.12,1.467
1/15/2025,00:32,-2.32461,23.09,1.656
1/15/2025,00:33,-2.32461,23.06,1.609
1/15/2025,00:34,-2.32460,23.04,2.164
1/15/2025,00:35,-2.32458,23.01,1.766
1/15/2025,00:36,-2.32456,22.98,1.609
1/15/2025,00:37,-2.32456,22.96,1.998
1/15/2025,00:38,-2.32456,22.96,1.588
1/15/2025,00:39,-2.33100,22.92,1.558
1/15/2025,00:40,-2.59571,22.91,2.185
1/15/2025,00:41,-2.71194,22.94,2.46
1/15/2025,00:42,-2.77648,22.97,2.47
1/15/2025,00:43,-2.89915,22.99,2.862
1/15/2025,00:44,-2.80230,23.01,2.368
1/15/2025,00:45,-2.76356,23.05,2.814
1/15/2025,00:46,-2.65380,23.09,2.955
1/15/2025,00:47,-2.36970,23.12,2.922
1/15/2025,00:48,-2.32452,23.14,2.974
1/15/2025,00:49,-2.32453,23.14,2.548
1/15/2025,00:50,-2.32453,23.14,2.525
1/15/2025,00:51,-2.32451,23.13,2.584
1/15/2025,00:52,-2.32451,23.12,2.71
1/15/2025,00:53,-2.32452,23.15,3.652
1/15/2025,00:54,-2.32452,23.22,2.933
1/15/2025,00:55,-2.32454,23.24,2.824
1/15/2025,00:56,-2.32455,23.23,3.311
1/15/2025,00:57,-2.32455,23.22,3
1/15/2025,00:58,-2.32453,23.22,2.506
1/15/2025,00:59,-2.32452,23.22,2.731
1/15/2025,01:00,-2.32452,23.2,2.558
1/15/2025,01:01,-2.32454,23.15,2.687
1/15/2025,01:02,-2.32455,23.13,2.751
1/15/2025,01:03,-2.32455,23.11,2.599
1/15/2025,01:04,-2.32455,23.03,2.06
1/15/2025,01:05,-2.32453,22.91,2.492
1/15/2025,01:06,-2.40199,22.8,2.604
1/15/2025,01:07,-2.78939,22.74,2.234
1/15/2025,01:08,-3.08639,22.69,2.143
1/15/2025,01:09,-3.09932,22.64,2.378
1/15/2025,01:10,-3.09933,22.57,2.29
1/15/2025,01:11,-3.09934,22.48,1.97
1/15/2025,01:12,-3.09934,22.41,1.98
1/15/2025,01:13,-3.09934,22.37,1.864
1/15/2025,01:14,-3.09935,22.32,1.94
1/15/2025,01:15,-3.09935,22.28,1.671
1/15/2025,01:16,-3.09935,22.24,1.855
1/15/2025,01:17,-3.09937,22.23,1.759
1/15/2025,01:18,-3.09938,22.23,1.984
1/15/2025,01:19,-3.09939,22.26,2.043
1/15/2025,01:20,-3.09940,22.3,2.038
1/15/2025,01:21,-3.09940,22.31,2.097
1/15/2025,01:22,-3.09941,22.32,1.837
1/15/2025,01:23,-3.09937,22.3,1.908
1/15/2025,01:24,-3.09938,22.3,2.002
1/15/2025,01:25,-3.09938,22.29,2.115
1/15/2025,01:26,-3.09938,22.26,2.096
1/15/2025,01:27,-3.09939,22.22,2.252
1/15/2025,01:28,-3.09939,22.18,2.18
1/15/2025,01:29,-3.09939,22.15,2.185
1/15/2025,01:30,-3.09939,22.11,2.131
1/15/2025,01:31,-3.08001,22.09,1.999
1/15/2025,01:32,-3.07356,22.07,2.102
1/15/2025,01:33,-3.05419,22.06,1.837
1/15/2025,01:34,-3.08002,22.06,1.872
1/15/2025,01:35,-3.08003,22.05,1.759
1/15/2025,01:36,-3.09294,22.04,2.12
1/15/2025,01:37,-3.09295,22.05,2.251
1/15/2025,01:38,-3.09295,22.05,2.051
1/15/2025,01:39,-3.05420,22.06,2.18
1/15/2025,01:40,-2.84758,22.08,1.878
1/15/2025,01:41,-2.90570,22.08,1.904
1/15/2025,01:42,-2.80884,22.05,2.159
1/15/2025,01:43,-2.67325,22,2.161
1/15/2025,01:44,-2.3504,21.96,1.947
1/15/2025,01:45,-2.32457,21.93,1.937
1/15/2025,01:46,-2.32457,21.93,1.993
1/15/2025,01:47,-2.32458,21.93,1.842
1/15/2025,01:48,-2.32459,21.93,2.104
1/15/2025,01:49,-2.3246,21.93,2.107
1/15/2025,01:50,-2.32462,21.91,1.942
1/15/2025,01:51,-2.32463,21.9,1.993
1/15/2025,01:52,-2.32464,21.87,1.837
1/15/2025,01:53,-2.32466,21.83,1.855
1/15/2025,01:54,-2.32467,21.8,1.962
1/15/2025,01:55,-2.32468,21.75,2.36
1/15/2025,01:56,-2.32469,21.72,2.136
1/15/2025,01:57,-2.32470,21.69,2.39
1/15/2025,01:58,-2.32472,21.68,2.318
1/15/2025,01:59,-2.32473,21.66,2.272
1/15/2025,02:00,-2.32475,21.63,2.355
1/15/2025,02:01,-2.32477,21.61,2.283
1/15/2025,02:02,-2.32478,21.59,2.305
1/15/2025,02:03,-2.32478,21.6,2.099
1/15/2025,02:04,-2.32478,21.6,2.176
1/15/2025,02:05,-2.32478,21.61,2.084
1/15/2025,02:06,-2.32478,21.62,2.151
1/15/2025,02:07,-2.32479,21.61,2.087
1/15/2025,02:08,-2.32480,21.6,2.022
