Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,25109,-,-,-,21.29,-157.86,-10,6,-10,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Alpha,AOD,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2008,1,1,0,30,23.8,0.56,0.043000000000000003,0.7000000000000001,0,0,0,1,2,20.400000000000002,0,0,1,0,0.28500000000000003,81.35000000000001,177.94,0.97,0.07,1028,3.5,54,8.1
2008,1,1,1,30,23.700000000000003,0.55,0.043000000000000003,0.7000000000000001,0,0,0,1,2,20.3,0,0,1,0,0.28600000000000003,81.18,167.09,0.97,0.07,1028,3.5,52,8
2008,1,1,2,30,23.700000000000003,0.55,0.043000000000000003,0.7000000000000001,0,0,0,0,3,20.200000000000003,0,0,0,0,0.28500000000000003,80.56,153.31,0.97,0.07,1028,3.5,52,7.9
2008,1,1,3,30,23.6,0.56,0.042,0.7000000000000001,0,0,0,0,3,20.1,0,0,0,0,0.28500000000000003,80.71000000000001,139.54,0.97,0.07,1028,3.4000000000000004,52,7.9
2008,1,1,4,30,23.6,0.56,0.042,0.7000000000000001,0,0,0,0,1,20.1,0,0,0,0,0.28400000000000003,80.66,125.89,0.97,0.07,1028,3.4000000000000004,53,8
2008,1,1,5,30,23.5,0.54,0.044,0.7000000000000001,0,0,0,0,1,20.1,0,0,0,0,0.28300000000000003,81.02,112.42,0.97,0.07,1028,3.3000000000000003,54,8
2008,1,1,6,30,23.6,0.52,0.045,0.7000000000000001,0,0,0,0,0,20,0,0,0,0,0.28200000000000003,80.51,99.21000000000001,0.97,0.07,1029,3.3000000000000003,55,8.1
2008,1,1,7,30,23.8,0.49,0.047,0.7000000000000001,23,246,39,0,1,20.1,23,246,0,39,0.28200000000000003,79.67,86.23,0.98,0.07,1030,3.3000000000000003,56,8.3
2008,1,1,8,30,24,0.47000000000000003,0.05,0.7000000000000001,57,637,230,0,2,20.1,131,14,0,134,0.28200000000000003,78.69,74.22,0.98,0.07,1030,3.3000000000000003,57,8.6
2008,1,1,9,30,24.1,0.46,0.051000000000000004,0.7000000000000001,74,789,430,0,2,20,202,21,0,211,0.281,78.04,63.13,0.98,0.07,1030,3.3000000000000003,57,8.8
2008,1,1,10,30,24.3,0.44,0.052000000000000005,0.7000000000000001,84,863,595,0,0,20,84,863,0,595,0.279,76.9,53.71,0.98,0.07,1030,3.2,56,8.8
2008,1,1,11,30,24.400000000000002,0.4,0.055,0.7000000000000001,91,896,702,0,2,20,367,116,0,446,0.276,76.52,47.01,0.98,0.07,1030,3.2,56,8.700000000000001
2008,1,1,12,30,24.5,0.39,0.056,0.7000000000000001,93,909,744,0,2,20,360,89,0,424,0.274,76.23,44.29,0.98,0.07,1029,3.1,57,8.5
2008,1,1,13,30,24.6,0.4,0.055,0.7000000000000001,91,902,715,0,2,20.1,361,96,0,428,0.272,75.88,46.25,0.97,0.07,1028,3.1,58,8.3
2008,1,1,14,30,24.6,0.41000000000000003,0.052000000000000005,0.7000000000000001,85,874,619,1,2,20.1,333,110,1,400,0.27,76.02,52.38,0.97,0.07,1028,3.1,57,8.1
2008,1,1,15,30,24.5,0.4,0.051000000000000004,0.7000000000000001,76,811,464,0,2,20.1,256,61,0,285,0.269,76.73,61.42,0.98,0.07,1028,3,55,8.1
